customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00014,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),71.59,4317.78,No
CUST-00015,Male,0,Yes,No,6,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),83.41,521.96,Yes
CUST-00016,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.1,4702.34,No
CUST-00017,Female,0,No,Yes,18,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,81.0,1382.11,No
CUST-00018,Female,1,Yes,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,72.46,674.32,No
CUST-00019,Male,0,No,No,68,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,66.91,4608.84,No
CUST-00020,Female,1,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),78.59,956.3,Yes
CUST-00021,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,68.23,493.52,Yes
CUST-00022,Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,67.37,3425.6,Yes
CUST-00023,Female,1,Yes,No,3,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),79.33,225.28,No
CUST-00024,Female,0,No,No,61,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.07,4767.95,No
CUST-00025,Female,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,76.68,1982.17,No
CUST-00026,Female,0,No,No,55,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,91.75,4929.79,No
CUST-00027,Female,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,95.7,6707.18,No
CUST-00028,Female,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),105.66,4782.15,No
CUST-00029,Female,0,No,Yes,8,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,81.8,662.01,Yes
CUST-00030,Male,0,Yes,Yes,11,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,84.15,902.63,No
CUST-00031,Male,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.14,275.96,No
CUST-00032,Female,0,Yes,Yes,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.42,1380.56,Yes
CUST-00033,Female,0,No,No,5,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,81.49,448.41,No
CUST-00034,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,73.67,104.03,No
CUST-00035,Male,0,No,Yes,6,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),56.31,365.49,Yes
CUST-00036,Female,1,Yes,No,7,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),61.06,476.6,No
CUST-00037,Male,0,No,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.58,541.4,No
CUST-00038,Male,1,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),85.61,4679.16,No
CUST-00039,Male,0,Yes,No,5,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,72.19,360.2,No
CUST-00040,Male,0,No,Yes,5,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,73.98,453.41,No
CUST-00041,Male,0,Yes,Yes,43,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),54.41,2391.48,Yes
CUST-00042,Female,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.25,1255.65,No
CUST-00043,Female,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),87.1,582.94,Yes
CUST-00044,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,602.99,No
CUST-00045,Female,0,No,Yes,52,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),80.96,4174.2,No
CUST-00046,Female,1,No,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,673.41,No
CUST-00047,Male,0,Yes,No,2,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.93,169.95,No
CUST-00048,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,87.41,5388.87,No
CUST-00049,Female,0,No,Yes,62,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),97.44,6058.79,No
CUST-00050,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,528.84,No
CUST-00051,Female,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,73.47,5054.29,Yes
CUST-00052,Male,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),94.82,410.43,No
CUST-00053,Female,1,No,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.88,4952.49,Yes
CUST-00054,Male,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.21,729.55,Yes
CUST-00055,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.31,124.45,No
CUST-00056,Female,0,Yes,Yes,60,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),92.19,5490.61,No
CUST-00057,Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.23,813.3,Yes
CUST-00058,Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,85.29,148.0,Yes
CUST-00059,Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.73,85.61,No
CUST-00060,Male,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23.12,217.61,No
CUST-00061,Male,0,Yes,No,66,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,83.42,5506.49,No
CUST-00062,Male,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,90.49,5175.1,No
CUST-00063,Male,0,Yes,No,44,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,67.29,2946.9,No
CUST-00064,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.73,433.09,Yes
CUST-00065,Female,0,No,No,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,82.3,5704.17,No
CUST-00066,Female,0,No,No,44,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,77.13,3414.8,No
CUST-00067,Male,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,72.41,5117.64,No
CUST-00068,Female,1,Yes,No,5,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),54.2,235.26,No
CUST-00069,Female,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,129.69,Yes
CUST-00070,Female,0,No,Yes,13,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),68.94,878.26,No
CUST-00071,Female,0,No,No,41,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,79.78,3260.61,No
CUST-00072,Male,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.31,718.73,No
CUST-00073,Female,1,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),76.92,277.01,No
CUST-00074,Male,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,58.28,3342.5,No
CUST-00075,Female,1,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.25,608.15,No
CUST-00076,Female,1,Yes,No,62,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,82.21,5033.92,Yes
CUST-00077,Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,63.71,3372.5,No
CUST-00078,Male,0,Yes,No,41,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,75.77,3060.18,No
CUST-00079,Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,1215.42,No
CUST-00080,Male,1,Yes,No,11,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,45.57,507.96,No
CUST-00081,Female,0,No,Yes,66,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,69.98,4650.38,No
CUST-00082,Male,1,Yes,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.09,1162.41,No
CUST-00083,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),35.4,327.92,No
CUST-00084,Male,0,No,Yes,39,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,79.48,3054.99,Yes
CUST-00085,Male,1,Yes,No,10,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),60.86,623.0,No
CUST-00086,Female,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,18.25,Yes
CUST-00087,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),97.59,184.2,No
CUST-00088,Female,0,No,No,3,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.61,252.68,Yes
CUST-00089,Female,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.41,936.37,No
CUST-00090,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),53.99,767.66,Yes
CUST-00091,Female,0,Yes,No,53,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),68.98,3649.95,No
CUST-00092,Female,1,No,Yes,57,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.59,2798.58,No
CUST-00093,Female,1,Yes,No,30,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.22,2221.9,No
CUST-00094,Female,0,No,Yes,58,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,59.46,3345.93,No
CUST-00095,Female,0,No,No,7,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,68.93,448.47,No
CUST-00096,Female,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,86.68,4153.66,No
CUST-00097,Female,0,No,No,39,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,65.05,2545.43,No
CUST-00098,Female,1,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.48,437.75,No
CUST-00099,Male,0,No,No,61,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),92.62,5569.89,No
CUST-00100,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.63,4288.47,No
CUST-00101,Female,0,No,Yes,56,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,87.9,5025.15,Yes
CUST-00102,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.72,4181.5,No
CUST-00103,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,88.84,762.32,No
CUST-00104,Female,0,Yes,Yes,53,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),42.38,2302.04,No
CUST-00105,Female,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,579.16,No
CUST-00106,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,79.41,79.41,No
CUST-00107,Female,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,63.9,673.61,Yes
CUST-00108,Female,0,Yes,Yes,51,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),46.21,2297.07,No
CUST-00109,Male,0,Yes,No,14,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),64.67,915.87,No
CUST-00110,Female,0,No,No,47,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,101.83,4815.33,No
CUST-00111,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),83.79,1455.33,No
CUST-00112,Female,0,No,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.71,187.08,No
CUST-00113,Female,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,1137.67,No
CUST-00114,Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.7,637.92,No
CUST-00115,Female,1,No,No,24,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,88.98,2171.62,No
CUST-00116,Male,1,Yes,Yes,71,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,59.94,4293.68,No
CUST-00117,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.8,352.26,No
CUST-00118,Female,1,Yes,No,11,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),83.74,869.27,No
CUST-00119,Male,0,No,No,5,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Mailed check,57.97,322.33,No
CUST-00120,Female,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.97,422.47,No
CUST-00121,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,63.93,162.94,No
CUST-00122,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.78,5293.53,No
CUST-00123,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.66,5482.71,Yes
CUST-00124,Male,0,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.44,158.34,Yes
CUST-00125,Female,0,No,No,67,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),74.82,4960.74,No
CUST-00126,Female,0,Yes,No,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.28,525.25,Yes
CUST-00127,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Mailed check,80.05,2278.62,No
CUST-00128,Female,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Mailed check,62.54,4296.43,No
CUST-00129,Female,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.69,1160.49,No
CUST-00130,Female,0,No,No,33,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.62,1675.18,Yes
CUST-00131,Male,0,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.93,919.03,No
CUST-00132,Male,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),66.79,4690.88,No
CUST-00133,Male,0,No,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.26,3229.12,No
CUST-00134,Male,0,Yes,No,11,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.75,831.07,No
CUST-00135,Male,0,Yes,Yes,38,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,73.18,2736.31,No
CUST-00136,Male,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),67.75,683.96,No
CUST-00137,Male,0,Yes,No,35,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,46.85,1683.95,No
CUST-00138,Male,0,Yes,No,42,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,64.89,2645.52,No
CUST-00139,Male,0,Yes,No,64,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.12,4052.3,No
CUST-00140,Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),93.13,691.28,No
CUST-00141,Male,0,No,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),84.53,5410.27,No
CUST-00142,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,96.46,614.41,No
CUST-00143,Female,1,No,No,53,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),69.07,3579.96,No
CUST-00144,Female,1,Yes,No,14,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),66.43,908.74,No
CUST-00145,Male,1,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,94.7,No
CUST-00146,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,62.29,842.83,Yes
CUST-00147,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.22,1291.62,No
CUST-00148,Male,0,Yes,No,49,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),61.81,2946.93,No
CUST-00149,Female,0,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),50.26,1115.88,No
CUST-00150,Male,0,Yes,No,34,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),66.62,2286.86,No
CUST-00151,Male,0,Yes,Yes,27,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),85.64,2261.94,No
CUST-00152,Male,1,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,1194.92,No
CUST-00153,Male,0,No,No,38,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,51.44,1872.9,No
CUST-00154,Male,1,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.61,2211.72,No
CUST-00155,Female,0,No,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.72,3906.5,Yes
CUST-00156,Male,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,1066.38,No
CUST-00157,Female,0,Yes,No,42,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,89.8,3831.72,No
CUST-00158,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,131.7,No
CUST-00159,Female,0,Yes,No,42,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),94.78,4011.43,No
CUST-00160,Male,0,No,Yes,32,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,76.02,2420.5,No
CUST-00161,Male,0,Yes,No,57,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.39,4128.15,No
CUST-00162,Female,0,No,Yes,10,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,44.66,455.34,No
CUST-00163,Female,1,No,Yes,23,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,70.2,1605.8,No
CUST-00164,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,84.02,5209.42,No
CUST-00165,Male,1,No,No,10,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),59.27,616.89,Yes
CUST-00166,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.91,4750.75,No
CUST-00167,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),94.64,3002.75,No
CUST-00168,Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),80.54,4099.56,No
CUST-00169,Female,0,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,1177.8,No
CUST-00170,Female,0,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.64,939.95,No
CUST-00171,Male,0,No,No,62,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),58.7,3630.48,No
